Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  1.38      1.32     0.02  1000000     0.00     0.00  SquareLattice::findNeighbor(int)
  1.38      1.34     0.02        1     0.02     1.33  DebugLattice::printSites()
  1.38      1.36     0.02        1     0.02     0.23  Lattice::shuffleBonds()
  1.38      1.38     0.02        1     0.02     1.31  Lattice::activateSites()
  1.03      1.39     0.02  4000112     0.00     0.00  std::vector<Bond, std::allocator<Bond> >::size() const
  0.69      1.40     0.01  5999961     0.00     0.00  std::remove_reference<Bond&>::type&& std::move<Bond&>(Bond&)
  0.69      1.41     0.01  5000002     0.00     0.00  std::vector<int, std::allocator<int> >::size() const
  0.69      1.42     0.01  2000000     0.00     0.00  Lattice::getPvalue()
  0.69      1.43     0.01  2000000     0.00     0.00  std::vector<Bond, std::allocator<Bond> >::push_back(Bond const&)
  0.69      1.44     0.01                             Lattice::getAverageClusterSize()
  0.34      1.45     0.01  2000000     0.00     0.00  operator new(unsigned long, void*)
  0.34      1.45     0.01        1     0.01     0.01  _GLOBAL__sub_I__ZN7LatticeC2Ei
  0.00      1.45     0.00  4000000     0.00     0.00  void arma::arma_check<char [37]>(bool, char const (&) [37])
  0.00      1.45     0.00  3999974     0.00     0.00  __gnu_cxx::__normal_iterator<Bond*, std::vector<Bond, std::allocator<Bond> > >::operator*() const
  0.00      1.45     0.00  2000002     0.00     0.00  __gnu_cxx::__normal_iterator<Bond*, std::vector<Bond, std::allocator<Bond> > >::__normal_iterator(Bond* const&)
  0.00      1.45     0.00  2000000     0.00     0.00  __gnu_cxx::__normal_iterator<Bond*, std::vector<Bond, std::allocator<Bond> > >::operator+(long) const
  0.00      1.45     0.00  2000000     0.00     0.00  void std::allocator_traits<std::allocator<Bond> >::construct<Bond, Bond const&>(std::allocator<Bond>&, Bond*, Bond const&)
  0.00      1.45     0.00  2000000     0.00     0.00  std::vector<Bond, std::allocator<Bond> >::operator[](unsigned long)
  0.00      1.45     0.00  2000000     0.00     0.00  __gnu_cxx::__promote_2<double, int, __gnu_cxx::__promote<double, std::__is_integer<double>::__value>::__type, __gnu_cxx::__promote<int, std::__is_integer<int>::__value>::__type>::__type std::pow<double, int>(double, int)
  0.00      1.45     0.00  1999999     0.00     0.00  __gnu_cxx::__normal_iterator<Bond*, std::vector<Bond, std::allocator<Bond> > >::operator++()
  0.00      1.45     0.00  1999999     0.00     0.00  __gnu_cxx::__normal_iterator<Bond*, std::vector<Bond, std::allocator<Bond> > >::difference_type __gnu_cxx::operator-<Bond*, std::vector<Bond, std::allocator<Bond> > >(__gnu_cxx::__normal_iterator<Bond*, std::vector<Bond, std::allocator<Bond> > > const&, __gnu_cxx::__normal_iterator<Bond*, std::vector<Bond, std::allocator<Bond> > > const&)
  0.00      1.45     0.00       66     0.00     0.00  __gnu_cxx::new_allocator<Bond>::max_size() const
  0.00      1.45     0.00       66     0.00     0.00  Bond* std::__niter_base<Bond*>(Bond*)
  0.00      1.45     0.00       45     0.00     0.00  std::_Vector_base<Bond, std::allocator<Bond> >::_M_get_Tp_allocator()
  0.00      1.45     0.00       44     0.00     0.00  std::_Vector_base<Bond, std::allocator<Bond> >::_M_get_Tp_allocator() const
  0.00      1.45     0.00       44     0.00     0.00  std::move_iterator<Bond*>::base() const
  0.00      1.45     0.00       44     0.00     0.00  std::vector<Bond, std::allocator<Bond> >::max_size() const
  0.00      1.45     0.00       44     0.00     0.00  std::move_iterator<Bond*>::move_iterator(Bond*)
  0.00      1.45     0.00       44     0.00     0.00  std::allocator_traits<std::allocator<Bond> >::max_size(std::allocator<Bond> const&)
  0.00      1.45     0.00       44     0.00     0.00  decltype (__miter_base(({parm#1}.base)())) std::__miter_base<Bond*>(std::move_iterator<Bond*>)
  0.00      1.45     0.00       44     0.00     0.00  Bond* std::__miter_base<Bond*>(Bond*)
  0.00      1.45     0.00       44     0.00     0.00  std::move_iterator<Bond*> std::__make_move_if_noexcept_iterator<Bond, std::move_iterator<Bond*> >(Bond*)
  0.00      1.45     0.00       36     0.00     0.00  arma::solve_opts::opts::opts(unsigned long long)
  0.00      1.45     0.00       30     0.00     0.00  arma::gmm_seed_mode::gmm_seed_mode(unsigned long long)
  0.00      1.45     0.00       23     0.00     0.00  void std::_Destroy_aux<true>::__destroy<Bond*>(Bond*, Bond*)
  0.00      1.45     0.00       23     0.00     0.00  std::_Vector_base<Bond, std::allocator<Bond> >::_M_deallocate(Bond*, unsigned long)
  0.00      1.45     0.00       23     0.00     0.00  void std::_Destroy<Bond*>(Bond*, Bond*)
  0.00      1.45     0.00       23     0.00     0.00  void std::_Destroy<Bond*, Bond>(Bond*, Bond*, std::allocator<Bond>&)
  0.00      1.45     0.00       22     0.00     0.00  __gnu_cxx::new_allocator<Bond>::deallocate(Bond*, unsigned long)
  0.00      1.45     0.00       22     0.00     0.00  __gnu_cxx::new_allocator<Bond>::allocate(unsigned long, void const*)
  0.00      1.45     0.00       22     0.00     0.00  std::vector<Bond, std::allocator<Bond> >::_M_check_len(unsigned long, char const*) const
  0.00      1.45     0.00       22     0.00     0.00  Bond* std::__copy_move<true, true, std::random_access_iterator_tag>::__copy_m<Bond>(Bond const*, Bond const*, Bond*)
  0.00      1.45     0.00       22     0.00     0.00  std::_Vector_base<Bond, std::allocator<Bond> >::_M_allocate(unsigned long)
  0.00      1.45     0.00       22     0.00     0.00  std::allocator_traits<std::allocator<Bond> >::deallocate(std::allocator<Bond>&, Bond*, unsigned long)
  0.00      1.45     0.00       22     0.00     0.00  std::allocator_traits<std::allocator<Bond> >::allocate(std::allocator<Bond>&, unsigned long)
  0.00      1.45     0.00       22     0.00     0.00  Bond* std::__uninitialized_copy<true>::__uninit_copy<std::move_iterator<Bond*>, Bond*>(std::move_iterator<Bond*>, std::move_iterator<Bond*>, Bond*)
  0.00      1.45     0.00       22     0.00     0.00  void std::vector<Bond, std::allocator<Bond> >::_M_emplace_back_aux<Bond const&>(Bond const&)
  0.00      1.45     0.00       22     0.00     0.00  Bond* std::__copy_move_a<true, Bond*, Bond*>(Bond*, Bond*, Bond*)
  0.00      1.45     0.00       22     0.00     0.00  Bond* std::__copy_move_a2<true, Bond*, Bond*>(Bond*, Bond*, Bond*)
  0.00      1.45     0.00       22     0.00     0.00  Bond* std::uninitialized_copy<std::move_iterator<Bond*>, Bond*>(std::move_iterator<Bond*>, std::move_iterator<Bond*>, Bond*)
  0.00      1.45     0.00       22     0.00     0.00  Bond* std::__uninitialized_copy_a<std::move_iterator<Bond*>, Bond*, Bond>(std::move_iterator<Bond*>, std::move_iterator<Bond*>, Bond*, std::allocator<Bond>&)
  0.00      1.45     0.00       22     0.00     0.00  Bond* std::__uninitialized_move_if_noexcept_a<Bond*, Bond*, std::allocator<Bond> >(Bond*, Bond*, Bond*, std::allocator<Bond>&)
  0.00      1.45     0.00       22     0.00     0.00  unsigned long const& std::max<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      1.45     0.00       22     0.00     0.00  Bond* std::copy<std::move_iterator<Bond*>, Bond*>(std::move_iterator<Bond*>, std::move_iterator<Bond*>, Bond*)
  0.00      1.45     0.00       18     0.00     0.00  arma::gmm_dist_mode::gmm_dist_mode(unsigned long long)
  0.00      1.45     0.00        3     0.00     0.00  __gnu_cxx::new_allocator<int>::~new_allocator()
  0.00      1.45     0.00        3     0.00     0.00  std::allocator<int>::~allocator()
  0.00      1.45     0.00        3     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator()
  0.00      1.45     0.00        2     0.00     0.00  arma::solve_opts::opts_no_approx::opts_no_approx()
  0.00      1.45     0.00        2     0.00     0.00  arma::solve_opts::opts_equilibrate::opts_equilibrate()
  0.00      1.45     0.00        2     0.00     0.00  arma::solve_opts::opts_fast::opts_fast()
  0.00      1.45     0.00        2     0.00     0.00  arma::solve_opts::opts_none::opts_none()
  0.00      1.45     0.00        2     0.00     0.00  arma::solve_opts::opts_tril::opts_tril()
  0.00      1.45     0.00        2     0.00     0.00  arma::solve_opts::opts_triu::opts_triu()
  0.00      1.45     0.00        2     0.00     0.00  arma::gmm_dist_eucl::gmm_dist_eucl()
  0.00      1.45     0.00        2     0.00     0.00  arma::gmm_dist_maha::gmm_dist_maha()
  0.00      1.45     0.00        2     0.00     0.00  arma::gmm_dist_prob::gmm_dist_prob()
  0.00      1.45     0.00        2     0.00     0.00  arma::gmm_seed_keep_existing::gmm_seed_keep_existing()
  0.00      1.45     0.00        2     0.00     0.00  arma::gmm_seed_random_spread::gmm_seed_random_spread()
  0.00      1.45     0.00        2     0.00     0.00  arma::gmm_seed_random_subset::gmm_seed_random_subset()
  0.00      1.45     0.00        2     0.00     0.00  arma::gmm_seed_static_spread::gmm_seed_static_spread()
  0.00      1.45     0.00        2     0.00     0.00  arma::gmm_seed_static_subset::gmm_seed_static_subset()
  0.00      1.45     0.00        2     0.00     0.00  arma::fill::fill_class<arma::fill::fill_randn>::fill_class()
  0.00      1.45     0.00        2     0.00     0.00  arma::fill::fill_class<arma::fill::fill_randu>::fill_class()
  0.00      1.45     0.00        2     0.00     0.00  arma::fill::fill_class<arma::fill::fill_zeros>::fill_class()
  0.00      1.45     0.00        2     0.00     0.00  arma::fill::fill_class<arma::fill::fill_eye>::fill_class()
  0.00      1.45     0.00        2     0.00     0.00  arma::fill::fill_class<arma::fill::fill_none>::fill_class()
  0.00      1.45     0.00        2     0.00     0.00  arma::fill::fill_class<arma::fill::fill_ones>::fill_class()
  0.00      1.45     0.00        2     0.00     0.00  __gnu_cxx::new_allocator<int>::new_allocator()
  0.00      1.45     0.00        2     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::__normal_iterator(int* const&)
  0.00      1.45     0.00        2     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::base() const
  0.00      1.45     0.00        2     0.00     0.00  std::allocator<int>::allocator()
  0.00      1.45     0.00        2     0.00     0.00  void std::_Destroy_aux<true>::__destroy<int*>(int*, int*)
  0.00      1.45     0.00        2     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::~_Vector_impl()
  0.00      1.45     0.00        2     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_deallocate(int*, unsigned long)
  0.00      1.45     0.00        2     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::~_Vector_base()
  0.00      1.45     0.00        2     0.00     0.00  std::vector<int, std::allocator<int> >::~vector()
  0.00      1.45     0.00        2     0.00     0.00  int* std::__niter_base<int*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >)
  0.00      1.45     0.00        2     0.00     0.00  void std::_Destroy<int*>(int*, int*)
  0.00      1.45     0.00        2     0.00     0.00  void std::_Destroy<int*, int>(int*, int*, std::allocator<int>&)
  0.00      1.45     0.00        1     0.00     0.00  _GLOBAL__sub_I_main
  0.00      1.45     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      1.45     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      1.45     0.00        1     0.00     0.08  DebugLattice::printBonds()
  0.00      1.45     0.00        1     0.00     0.03  DebugLattice::DebugLattice(int)
  0.00      1.45     0.00        1     0.00     0.00  DebugLattice::~DebugLattice()
  0.00      1.45     0.00        1     0.00     0.03  SquareLattice::SquareLattice(int)
  0.00      1.45     0.00        1     0.00     0.00  SquareLattice::~SquareLattice()
  0.00      1.45     0.00        1     0.00     0.00  void arma::arma_check<char [53]>(bool, char const (&) [53])
  0.00      1.45     0.00        1     0.00     0.00  void arma::arma_check<char [74]>(bool, char const (&) [74])
  0.00      1.45     0.00        1     0.00     0.00  void arma::arma_check<char*>(bool, char* const&)
  0.00      1.45     0.00        1     0.00     0.00  arma::Base_inv_yes<arma::Mat<double> >::Base_inv_yes()
  0.00      1.45     0.00        1     0.00     0.00  arma::Base_eval_Mat<double, arma::Mat<double> >::Base_eval_Mat()
  0.00      1.45     0.00        1     0.00     0.00  arma::Base_trans_default<arma::Mat<double> >::Base_trans_default()
  0.00      1.45     0.00        1     0.00     0.00  void arma::arma_check_bad_alloc<char [39]>(bool, char const (&) [39])
  0.00      1.45     0.00        1     0.00     0.00  arma::Col<double>::Col()
  0.00      1.45     0.00        1     0.00     0.00  arma::Col<double>::~Col()
  0.00      1.45     0.00        1     0.00     0.00  arma::Mat<double>::fill(double)
  0.00      1.45     0.00        1     0.00     0.03  arma::Mat<double>::set_size(unsigned long long)
  0.00      1.45     0.00        1     0.00     0.00  arma::Mat<double>::Mat(arma::arma_vec_indicator const&, unsigned int)
  0.00      1.45     0.00        1     0.00     0.00  arma::Mat<double>::~Mat()
  0.00      1.45     0.00        1     0.00     0.00  arma::Base<double, arma::Mat<double> >::Base()
  0.00      1.45     0.00        1     0.00     0.00  double* arma::memory::acquire<double>(unsigned long long)
  0.00      1.45     0.00        1     0.00     0.00  void arma::arrayops::inplace_set<double>(double*, double, unsigned long long)
  0.00      1.45     0.00        1     0.00     0.08  Lattice::generateNeighbors()
  0.00      1.45     0.00        1     0.00     0.03  Lattice::Lattice(int)
  0.00      1.45     0.00        1     0.00     0.00  Lattice::~Lattice()
  0.00      1.45     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<Bond>::new_allocator()
  0.00      1.45     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<Bond>::~new_allocator()
  0.00      1.45     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<int>::deallocate(int*, unsigned long)
  0.00      1.45     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<int>::allocate(unsigned long, void const*)
  0.00      1.45     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<int>::new_allocator(__gnu_cxx::new_allocator<int> const&)
  0.00      1.45     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<int>::max_size() const
  0.00      1.45     0.00        1     0.00     0.00  std::allocator<Bond>::allocator()
  0.00      1.45     0.00        1     0.00     0.00  std::allocator<Bond>::~allocator()
  0.00      1.45     0.00        1     0.00     0.00  std::allocator<int>::allocator(std::allocator<int> const&)
  0.00      1.45     0.00        1     0.00     0.00  std::_Vector_base<Bond, std::allocator<Bond> >::_Vector_impl::_Vector_impl()
  0.00      1.45     0.00        1     0.00     0.00  std::_Vector_base<Bond, std::allocator<Bond> >::_Vector_impl::~_Vector_impl()
  0.00      1.45     0.00        1     0.00     0.00  std::_Vector_base<Bond, std::allocator<Bond> >::_Vector_base()
  0.00      1.45     0.00        1     0.00     0.00  std::_Vector_base<Bond, std::allocator<Bond> >::~_Vector_base()
  0.00      1.45     0.00        1     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_allocate(unsigned long)
  0.00      1.45     0.00        1     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::_Vector_impl()
  0.00      1.45     0.00        1     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::_Vector_impl(std::allocator<int> const&)
  0.00      1.45     0.00        1     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_create_storage(unsigned long)
  0.00      1.45     0.00        1     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_base(unsigned long, std::allocator<int> const&)
  0.00      1.45     0.00        1     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_base()
  0.00      1.45     0.00        1     0.00     0.00  std::numeric_limits<unsigned long>::max()
  0.00      1.45     0.00        1     0.00     0.00  std::allocator_traits<std::allocator<int> >::deallocate(std::allocator<int>&, int*, unsigned long)
  0.00      1.45     0.00        1     0.00     0.00  std::allocator_traits<std::allocator<int> >::allocate(std::allocator<int>&, unsigned long)
  0.00      1.45     0.00        1     0.00     0.00  int* std::__uninitialized_default_n_1<true>::__uninit_default_n<int*, unsigned long>(int*, unsigned long)
  0.00      1.45     0.00        1     0.00     0.00  std::vector<Bond, std::allocator<Bond> >::end()
  0.00      1.45     0.00        1     0.00     0.00  std::vector<Bond, std::allocator<Bond> >::begin()
  0.00      1.45     0.00        1     0.00     0.00  std::vector<Bond, std::allocator<Bond> >::vector()
  0.00      1.45     0.00        1     0.00     0.00  std::vector<Bond, std::allocator<Bond> >::~vector()
  0.00      1.45     0.00        1     0.00     0.00  std::vector<int, std::allocator<int> >::_M_default_initialize(unsigned long)
  0.00      1.45     0.00        1     0.00     0.00  std::vector<int, std::allocator<int> >::end()
  0.00      1.45     0.00        1     0.00     0.00  std::vector<int, std::allocator<int> >::begin()
  0.00      1.45     0.00        1     0.00     0.00  std::vector<int, std::allocator<int> >::vector(unsigned long, std::allocator<int> const&)
  0.00      1.45     0.00        1     0.00     0.00  std::vector<int, std::allocator<int> >::vector()
  0.00      1.45     0.00        1     0.00     0.00  __gnu_cxx::__enable_if<std::__is_scalar<int>::__value, int*>::__type std::__fill_n_a<int*, unsigned long, int>(int*, unsigned long, int const&)
  0.00      1.45     0.00        1     0.00     0.00  int* std::__niter_base<int*>(int*)
  0.00      1.45     0.00        1     0.00     0.21  void std::random_shuffle<__gnu_cxx::__normal_iterator<Bond*, std::vector<Bond, std::allocator<Bond> > > >(__gnu_cxx::__normal_iterator<Bond*, std::vector<Bond, std::allocator<Bond> > >, __gnu_cxx::__normal_iterator<Bond*, std::vector<Bond, std::allocator<Bond> > >)
  0.00      1.45     0.00        1     0.00     0.00  int* std::__uninitialized_default_n<int*, unsigned long>(int*, unsigned long)
  0.00      1.45     0.00        1     0.00     0.00  int* std::__uninitialized_default_n_a<int*, unsigned long, int>(int*, unsigned long, std::allocator<int>&)
  0.00      1.45     0.00        1     0.00     0.00  void std::fill<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, int>(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, int const&)
  0.00      1.45     0.00        1     0.00     0.00  int* std::fill_n<int*, unsigned long, int>(int*, unsigned long, int const&)
  0.00      1.45     0.00        1     0.00     0.00  __gnu_cxx::__enable_if<std::__is_scalar<int>::__value, void>::__type std::__fill_a<int*, int>(int*, int*, int const&)

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.

 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

Copyright (C) 2012-2015 Free Software Foundation, Inc.

Copying and distribution of this file, with or without modification,
are permitted in any medium without royalty provided the copyright
notice and this notice are preserved.

		     Call graph (explanation follows)


granularity: each sample hit covers 2 byte(s) for 0.69% of 1.45 seconds

index % time    self  children    called     name
                                                 <spontaneous>
[1]     99.0    0.00    1.44                 main [1]
                0.02    1.31       1/1           DebugLattice::printSites() [2]
                0.00    0.08       1/1           DebugLattice::printBonds() [11]
                0.00    0.03       1/1           DebugLattice::DebugLattice(int) [20]
                0.00    0.00       1/1           DebugLattice::~DebugLattice() [122]
-----------------------------------------------
                0.02    1.31       1/1           main [1]
[2]     91.6    0.02    1.31       1         DebugLattice::printSites() [2]
                0.02    1.29       1/1           Lattice::activateSites() [3]
                0.00    0.00 1000001/5000002     std::vector<int, std::allocator<int> >::size() const [31]
-----------------------------------------------
                0.02    1.29       1/1           DebugLattice::printSites() [2]
[3]     90.1    0.02    1.29       1         Lattice::activateSites() [3]
                0.15    0.90 2000000/2000000     Lattice::activateBond(Bond&) [4]
                0.02    0.21       1/1           Lattice::shuffleBonds() [6]
                0.01    0.00 2000002/4000112     std::vector<Bond, std::allocator<Bond> >::size() const [29]
                0.00    0.00 2000000/2000000     std::vector<Bond, std::allocator<Bond> >::operator[](unsigned long) [49]
                0.00    0.00 2000000/4000000     void arma::arma_check<char [37]>(bool, char const (&) [37]) [45]
-----------------------------------------------
                0.15    0.90 2000000/2000000     Lattice::activateSites() [3]
[4]     72.3    0.15    0.90 2000000         Lattice::activateBond(Bond&) [4]
                0.61    0.13 11318625/11318625     Lattice::getRootNode(int) [5]
                0.04    0.01 2000000/2000000     Lattice::pushBinomialCoeff() [15]
                0.04    0.00 11999988/49569611     std::vector<int, std::allocator<int> >::operator[](unsigned long) [8]
                0.03    0.00  999999/1000000     Lattice::getChi(int) [19]
                0.01    0.01 1999998/2000000     Lattice::getPvalue() [25]
                0.02    0.00 2999997/2999997     __gnu_cxx::__promote_2<int, int, __gnu_cxx::__promote<int, std::__is_integer<int>::__value>::__type, __gnu_cxx::__promote<int, std::__is_integer<int>::__value>::__type>::__type std::pow<int, int>(int, int) [28]
                0.00    0.00  999999/2000000     __gnu_cxx::__promote_2<double, int, __gnu_cxx::__promote<double, std::__is_integer<double>::__value>::__type, __gnu_cxx::__promote<int, std::__is_integer<int>::__value>::__type>::__type std::pow<double, int>(double, int) [50]
-----------------------------------------------
                             12125499             Lattice::getRootNode(int) [5]
                0.61    0.13 11318625/11318625     Lattice::activateBond(Bond&) [4]
[5]     50.7    0.61    0.13 11318625+12125499 Lattice::getRootNode(int) [5]
                0.13    0.00 35569623/49569611     std::vector<int, std::allocator<int> >::operator[](unsigned long) [8]
                             12125499             Lattice::getRootNode(int) [5]
-----------------------------------------------
                0.02    0.21       1/1           Lattice::activateSites() [3]
[6]     15.9    0.02    0.21       1         Lattice::shuffleBonds() [6]
                0.00    0.21       1/1           void std::random_shuffle<__gnu_cxx::__normal_iterator<Bond*, std::vector<Bond, std::allocator<Bond> > > >(__gnu_cxx::__normal_iterator<Bond*, std::vector<Bond, std::allocator<Bond> > >, __gnu_cxx::__normal_iterator<Bond*, std::vector<Bond, std::allocator<Bond> > >) [7]
                0.00    0.00       1/1           std::vector<Bond, std::allocator<Bond> >::end() [163]
                0.00    0.00       1/1           std::vector<Bond, std::allocator<Bond> >::begin() [164]
-----------------------------------------------
                0.00    0.21       1/1           Lattice::shuffleBonds() [6]
[7]     14.5    0.00    0.21       1         void std::random_shuffle<__gnu_cxx::__normal_iterator<Bond*, std::vector<Bond, std::allocator<Bond> > > >(__gnu_cxx::__normal_iterator<Bond*, std::vector<Bond, std::allocator<Bond> > >, __gnu_cxx::__normal_iterator<Bond*, std::vector<Bond, std::allocator<Bond> > >) [7]
                0.02    0.15 1999987/1999987     void std::iter_swap<__gnu_cxx::__normal_iterator<Bond*, std::vector<Bond, std::allocator<Bond> > >, __gnu_cxx::__normal_iterator<Bond*, std::vector<Bond, std::allocator<Bond> > > >(__gnu_cxx::__normal_iterator<Bond*, std::vector<Bond, std::allocator<Bond> > >, __gnu_cxx::__normal_iterator<Bond*, std::vector<Bond, std::allocator<Bond> > >) [9]
                0.02    0.01 4000000/4000000     bool __gnu_cxx::operator!=<Bond*, std::vector<Bond, std::allocator<Bond> > >(__gnu_cxx::__normal_iterator<Bond*, std::vector<Bond, std::allocator<Bond> > > const&, __gnu_cxx::__normal_iterator<Bond*, std::vector<Bond, std::allocator<Bond> > > const&) [18]
                0.00    0.01 1999999/1999999     __gnu_cxx::__normal_iterator<Bond*, std::vector<Bond, std::allocator<Bond> > >::difference_type __gnu_cxx::operator-<Bond*, std::vector<Bond, std::allocator<Bond> > >(__gnu_cxx::__normal_iterator<Bond*, std::vector<Bond, std::allocator<Bond> > > const&, __gnu_cxx::__normal_iterator<Bond*, std::vector<Bond, std::allocator<Bond> > > const&) [33]
                0.00    0.00 2000000/2000000     __gnu_cxx::__normal_iterator<Bond*, std::vector<Bond, std::allocator<Bond> > >::operator+(long) const [48]
                0.00    0.00 1999999/1999999     __gnu_cxx::__normal_iterator<Bond*, std::vector<Bond, std::allocator<Bond> > >::operator++() [51]
-----------------------------------------------
                0.01    0.00 2000000/49569611     Lattice::getPvalue() [25]
                0.04    0.00 11999988/49569611     Lattice::activateBond(Bond&) [4]
                0.13    0.00 35569623/49569611     Lattice::getRootNode(int) [5]
[8]     12.1    0.18    0.00 49569611         std::vector<int, std::allocator<int> >::operator[](unsigned long) [8]
-----------------------------------------------
                0.02    0.15 1999987/1999987     void std::random_shuffle<__gnu_cxx::__normal_iterator<Bond*, std::vector<Bond, std::allocator<Bond> > > >(__gnu_cxx::__normal_iterator<Bond*, std::vector<Bond, std::allocator<Bond> > >, __gnu_cxx::__normal_iterator<Bond*, std::vector<Bond, std::allocator<Bond> > >) [7]
[9]     11.7    0.02    0.15 1999987         void std::iter_swap<__gnu_cxx::__normal_iterator<Bond*, std::vector<Bond, std::allocator<Bond> > >, __gnu_cxx::__normal_iterator<Bond*, std::vector<Bond, std::allocator<Bond> > > >(__gnu_cxx::__normal_iterator<Bond*, std::vector<Bond, std::allocator<Bond> > >, __gnu_cxx::__normal_iterator<Bond*, std::vector<Bond, std::allocator<Bond> > >) [9]
                0.14    0.01 1999987/1999987     std::enable_if<std::__and_<std::is_move_constructible<Bond>, std::is_move_assignable<Bond> >::value, void>::type std::swap<Bond>(Bond&, Bond&) [10]
                0.00    0.00 3999974/3999974     __gnu_cxx::__normal_iterator<Bond*, std::vector<Bond, std::allocator<Bond> > >::operator*() const [46]
-----------------------------------------------
